"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","entity-loan","0","Upload Entity Consent","0","1","","0"
"0","test-reports","1","Initiate Loan Application","0","0","","0"
"0","personal-loan","0","Complete Onboarding Checklist","1","0","","0"
"0","test-reports","1","Add Signatories","0","0","","0"
"0","test-reports","1","Fill Loan Info","0","0","","0"
"0","entity-loan","0","Complete Onboarding Checklist","0","1","","0"
"0","test-reports","1","Sign Company Resolution (ALL Directors)","0","0","","0"
"0","test-reports","1","Review and Finalise Entity Verification","0","0","","0"
"0","test-reports","1","Edit Entity Info","0","0","","0"
"0","entity-loan","0","Initiate Pre-Screening","1","0","","0"
"0","personal-loan","0","Negative — Initiate Without Amount","1","0","","0"
"0","entity-loan","0","Add Signatories","1","0","","0"
"0","personal-loan","0","Review and Finalise Verification","1","0","","0"
"0","entity-loan","0","Add Directors","1","0","","0"
"0","personal-loan","0","Negative — Initiate Without Product","1","0","","0"
"0","test-reports","1","Add Directors","0","0","","0"
"0","entity-loan","0","Create Close Corporation (Entity) Lead","1","0","","0"
"0","test-reports","1","Fill and Submit Pre-Onboarding Checklist","0","0","","0"
"0","entity-loan","0","Initiate Loan Application","1","0","","0"
"0","entity-loan","0","Edit Entity Info + TC-04: Fill Loan Info (combined edit session)","1","0","","0"
"0","personal-loan","0","Create Individual Lead","1","0","","0"
"0","personal-loan","0","Initiate Pre-Screening","1","0","","0"
"0","test-reports","1","Upload Entity Consent","0","0","","0"
"1","personal-loan","0","Verify Opportunity Status is Complete","0","0","","0"
"0","personal-loan","0","Upload Individual Consent","1","0","","0"
"0","test-reports","1","Initiate Pre-Screening","0","0","","0"
"1","entity-loan","0","Verify Opportunity Status","0","0","","0"
"0","entity-loan","0","Review Entity Verification","0","1","","0"
"0","test-reports","1","Create Close Corporation (Entity) Lead","0","0","","0"
"0","personal-loan","0","Initiate Loan Application","1","0","","0"
"0","personal-loan","0","Fill Loan Info","1","0","","0"
"0","personal-loan","0","Edit Client Info","1","0","","0"
"0","entity-loan","0","Fill Loan Info","1","0","","0"
