"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1000","TC-05c: Upload Entity Consent","entity-loan","2026-03-19","skipped","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-05: Initiate Loan Application","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-07: Complete Onboarding Checklist","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-03b: Add Signatories","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-04: Fill Loan Info","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-07: Complete Onboarding Checklist","entity-loan","2026-03-19","skipped","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-05r: Sign Company Resolution (ALL Directors)","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-06: Review and Finalise Entity Verification","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-03: Edit Entity Info","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-02: Initiate Pre-Screening","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-05a: Negative — Initiate Without Amount","personal-loan","2026-03-19","passed","2026-03-19","","personal-loan","",""
"","1000","TC-03b: Add Signatories","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-06: Review and Finalise Verification","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-03a: Add Directors","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-05b: Negative — Initiate Without Product","personal-loan","2026-03-19","passed","2026-03-19","","personal-loan","",""
"","1000","TC-03a: Add Directors","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-01: Create Close Corporation (Entity) Lead","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-07: Fill and Submit Pre-Onboarding Checklist","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-05: Initiate Loan Application","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-03: Edit Entity Info + TC-04: Fill Loan Info (combined edit session)","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-01: Create Individual Lead","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-02: Initiate Pre-Screening","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-05c: Upload Entity Consent","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-08: Verify Opportunity Status is Complete","personal-loan","2026-03-18","broken","2026-03-18","","personal-loan","",""
"","1000","TC-05c: Upload Individual Consent","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-02: Initiate Pre-Screening","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-08: Verify Opportunity Status","entity-loan","2026-03-18","broken","2026-03-18","","entity-loan","",""
"","1000","TC-06: Review Entity Verification","entity-loan","2026-03-19","skipped","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
"","1000","TC-01: Create Close Corporation (Entity) Lead","test-reports","2026-04-15","failed","2026-04-15","","E2E Entity Loan Application","",""
"","1000","TC-05: Initiate Loan Application","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-04: Fill Loan Info","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-03: Edit Client Info","personal-loan","2026-03-19","passed","2026-03-19","","Personal Loan E2E","",""
"","1000","TC-04: Fill Loan Info","entity-loan","2026-03-19","passed","2026-03-19","","Entity (Close Corporation) Loan E2E","",""
